Date,High (°C),Low (°C)
10/14/2025,21,12
10/15/2025,23,12
10/16/2025,24,12
10/17/2025,21,13
10/18/2025,22,13
10/19/2025,23,13
10/20/2025,21,13
10/21/2025,22,13
